tic,name,ra,dec,tmag,ctl,sector 
304425262,J1151-6512,177.96341,-65.206001,5.096,1, 
175400332,* phi Gru,349.54191,-40.82489,5.349,0,2 
373415565,HR 1507,71.107373,11.146169,5.232,1, 
245820995,83 Tau,67.65613572,13.72432296,5.489,1, 
345582306,HD 29499,69.77606143,7.870986646,5.211,1, 
459065293,J1046-5645,161.7395,-56.757206,5.228,1, 
160444291,J1452-3748,223.21284,-37.803162,5.252,0, 
438516148,HD 48097,100.60136,17.645309,5.134,1, 
450072850,HD 30210,71.50752092,11.70554985,5.38,1, 
415556221,h Ori,77.331685,9.8295977,5.204,1, 
169468632,J1257-5111,194.26808,-51.198769,5.285,1, 
261862960,J1254-5710,193.65372,-57.168617,5.315,1, 
245819988,81 Tau,67.66248584,15.69177672,5.279,1, 
346626171,J0349+2408,57.296854,24.136629,5.156,1, 
435910664,h Tau,64.99093041,14.03512338,5.378,1, 
391421890,HD 93549,161.62329,-64.26324,5.356,1, 
467341330,J1112-6410,168.18834,-64.169762,5.366,1, 
52593512,122 Tau,84.265457,17.040409,5.313,1, 
142277151,HR 4867,192.16538,60.319881,5.994,1, 
245799490,80 Tau,67.535554,15.637899,5.242,1, 
453510797,J1341-5433,205.43658,-54.559418,5.315,1, 
401478684,OY Vel,135.43567,-52.188685,5.389,1, 
396899912,45 Tau,62.834149,5.523035,5.417,1, 
17195218,51 Tau,64.59711253,21.57915145,5.386,1, 
382509773,HR 3070,117.3037564,-60.2836879,5.431,1,1 
435927648,63 Tau,65.85416,16.777327,5.321,1, 
24072858,J1553-2431,238.47466,-24.533113,5.414,1, 
457557304,J1430-4931,217.5873,-49.51907,5.393,1, 
241660076,J1352-5248,208.02026,-52.81152,5.389,1, 
140072113,HD 24071,57.147846,-37.622011,6.941,0, 
91437378,47 Ari,44.521147,20.66881,5.708,0, 
220531502,J1553-2358,238.48278,-23.978064,5.481,0, 
393819751,21 Com,187.752334,24.5671682,5.386,1, 
435923755,60 Tau,65.51514757,14.0771094,5.487,1, 
311380607,J1204-6819,181.16213,-68.328979,5.433,1, 
391346342,HD 93540,161.56899,-64.51456,5.443,1, 
17516667,HD 28226,67.003007,21.620006,5.437,1, 
245905821,89 Tau,69.539068,16.033389,5.723,1, 
67801852,J1222-5740,185.70593,-57.676098,5.515,1, 
385509271,J0344+2417,56.200961,24.289337,5.459,1, 
440686442,J0348+2325,57.08674,23.421156,5.486,1, 
135371083,J1228-3902,187.0936,-39.041134,5.505,1, 
350869718,J1624-3733,246.13234,-37.56604,5.549,1, 
14255247,HD 25202,60.20375841,18.19388379,5.634,0, 
75642561,J1502-3238,225.74702,-32.643276,5.594,0, 
323246065,eta Cha,130.3313062,-78.9633602,5.614,1, 
245790062,76 Tau,67.097236,14.741026,5.559,1, 
17388998,HD 27901,66.23848293,19.04186487,5.479,1, 
245440777,J1320-5244,200.15761,-52.747852,5.616,1, 
355406799,HD 57852,110.0890099,-52.31091536,5.632,0, 
250957244,HD 213429,337.827,-6.5556227,5.681,0, 
93272269,HW Vel,129.8492,-53.4397,5.64,0, 
149165148,J1527-3646,231.82559,-36.767567,5.632,1, 
242940550,HR 1201,58.291494,17.327156,5.603,1, 
152972531,HD 20121 B,48.1073083,-44.419875,5.605,1, 
118554656,V1116 Tau,69.12189653,23.34063576,5.48,1, 
464907793,HD 92664,160.0475073,-65.10016553,5.678,1, 
297310042,J1532-1651,233.23006,-16.852829,5.655,1, 
458457378,HD 121560,208.95702,14.05654,5.635,0, 
177305415,HR 7214,285.88438,1.8187681,5.678,1, 
245825957,85 Tau,67.965388,15.851639,5.65,1, 
245368902,HR 8799,346.8701327,21.13404463,5.69,1, 
348664155,J0407+1509,61.92548439,15.16269248,5.736,0, 
435915513,HD 27483,65.22012711,13.86437441,5.712,1, 
78357288,J1644-4050,251.17748,-40.839657,5.758,0, 
99211241,J1546-3440,236.68428,-34.682415,5.755,1, 
17233245,HR 1354,65.10510793,18.74249984,5.722,1, 
385508971,18 Tau,56.29067685,24.83907017,5.745,1, 
241751294,J1355-5209,208.80059,-52.160851,5.756,1, 
244934834,J1307-5327,196.90957,-53.459747,5.832,1, 
94945758,AF Lep,81.76991924,-11.9011682,5.771,1, 
69759853,HD 33204,77.43816573,28.03022738,5.795,1, 
436661956,HD 30869,72.95870142,13.65501377,5.855,1, 
93239342,HIP 26966,85.84038077,-18.55753138,5.801,1, 
229012143,HD 203,1.709132433,-23.10773726,5.811,1,2 
385589396,21 Tau,56.47707835,24.55431819,5.809,1, 
144221009,TWA 11 A,189.00431,-39.869503,5.815,1, 
157324520,HD 102438,176.81454,-30.287492,5.663,0, 
48908494,J1608-2341,242.18216,-23.685438,5.836,1, 
159150734,J1436-4012,219.18388,-40.211559,5.879,1, 
122162363,J1508-4035,227.05056,-40.583965,5.878,1, 
277674241,J1550-5312,237.5295,-53.20977,5.868,1, 
68256179,J1612-2825,243.06691,-28.417313,5.784,1, 
297138738,HD 108799,187.51872,-13.393391,5.821,0, 
148158540,J1518-4047,229.73491,-40.788231,5.905,1, 
179905128,J1419-3700,214.84953,-37.002872,5.908,1, 
24189282,J1554-2514,238.6647,-25.243767,5.927,1, 
323292655,RS Cha,130.8008965,-79.070082,6.111,1, 
301842094,HD 155555 A,259.3560443,-66.95160838,5.924,1, 
452468734,HD 80950,139.36439,-74.734435,5.926,1, 
434237029,48 Tau,63.94335147,15.40060663,5.911,1, 
21721790,HR 6351,255.9729292,34.79019826,5.899,1, 
268507411,HD 28929,68.658309,28.961061,5.943,1, 
150322340,HD 45270 AB,95.62882422,-60.21838242,5.944,1,1-2 
311148485,HD 25102,59.91932977,10.33037833,5.951,1, 
31747041,HD 20888,49.49675642,-66.92679517,5.936,1,1-2 
160704414,J1508-4252,227.16332,-42.867928,5.929,1, 
48760373,J1606-2336,241.52657,-23.606291,5.998,1, 
452767166,HD 28736,68.02050517,5.410073615,5.976,1, 
159043143,J1435-4131,218.88123,-41.517406,5.956,1, 
60876325,70 Tau,66.40595649,15.94091486,5.971,1, 
75540884,J1501-3421,225.49202,-34.358814,5.98,1, 
297549461,J1202-6911,180.65703,-69.192291,5.958,1, 
68637413,J1614-2528,243.72263,-25.476978,5.986,1, 
140638831,HD 29329,71.503764,76.61048,5.989,0, 
75931110,J1506-3055,226.63831,-30.918486,6.036,1, 
243321910,J1337-4625,204.34782,-46.42794,6.018,0, 
33494267,HD 10863,26.504861,-27.349019,6.046,1, 
80302288,J1100-5149,165.03454,-51.817791,6.033,1, 
149652741,J1532-3837,233.01747,-38.622555,6.048,1, 
88478795,HR 943,46.96218523,-27.83122781,6.06,1, 
355406796,HD 57853,110.0908543,-52.30866713,6.317,0, 
440695282,HD 23950,57.47955192,22.24397098,6.046,0, 
450784713,J1228-6420,187.08027,-64.340958,6.046,1, 
456892231,HD 28363,67.24948431,16.15897598,6.035,1, 
68646689,HD 31236,73.74345075,19.48526628,6.053,1, 
245819740,HD 28568,67.69548717,16.14854171,6.06,1, 
412300810,J1243-5610,190.78827,-56.176235,6.09,0, 
308769611,J1217-6541,184.27631,-65.693008,6.065,1, 
231061242,HIP 9685,31.14706317,-54.88178815,6.067,1,2 
412298784,J1242-5556,190.70731,-55.947014,6.076,1, 
401944429,J0350-0131,57.56778191,-1.522470374,6.1,1, 
287842651,HD 37306,84.286637,-11.775611,6.094,1, 
149248196,AB Dor Aab,82.1873402,-65.44801094,6.049,0,1-2 
144921815,J1251-3940,192.98725,-39.680405,6.111,0, 
245035219,J1310-5234,197.74349,-52.566856,6.14,0, 
135086433,8 Com,184.8299141,23.03463242,6.121,1, 
31475829,HD 37286,84.04301781,-28.70802603,6.138,1, 
326467176,J1400-6128,210.07246,-61.481033,6.158,1, 
148415659,J1521-4044,230.3971,-40.749493,6.133,0, 
268119987,HD 62848,115.8391483,-52.16346451,6.152,0, 
177631209,J1544-4149,236.09451,-41.819008,6.089,1, 
406755195,22 Com,188.3925259,24.28294658,6.171,1, 
276298931,J1513-3605,228.28195,-36.09145,6.185,0, 
15933506,HD 26345,62.67704552,18.42312528,6.191,1, 
435920541,HD 27561,65.39542717,14.40970935,6.185,1, 
245858382,HD 28911,68.44478209,13.25181197,6.181,1, 
397712527,J1643-4106,250.97535,-41.113308,6.172,0, 
245895478,HD 29225,69.17008889,15.86921328,6.199,1, 
24133681,J1554-2720,238.62544,-27.338638,6.22,0, 
440695920,HD 23923,57.43146283,23.71166234,6.202,1, 
450098574,HD 30810,72.80259811,11.06798257,6.213,1, 
157272202,GJ 503.2 A,198.4050478,56.7081892,6.208,1, 
203822321,J1625-2327,246.35115,-23.46022,6.21,1, 
242288894,J1408-4328,212.21621,-43.470764,6.256,1, 
378035923,J1019-6440,154.77064,-64.676079,5.957,1, 
465946911,J1059-6119,164.80839,-61.320698,6.258,0, 
328860893,FM Com,184.7583813,26.00831396,6.283,1, 
144596888,HIP 16449,52.97377874,-25.61421209,6.3,1, 
389121767,101 Tau,74.93504417,15.91660929,6.249,1, 
327925616,J1239-6630,189.98273,-66.511124,6.325,0, 
405484171,J0347+2406,56.83775377,24.11608006,6.303,1, 
7789803,J1536-3305,234.04733,-33.092838,6.356,1, 
162132187,J1638-1813,249.61938,-18.220467,6.308,1, 
435911720,55 Tau,64.97904227,16.52243279,6.388,1, 
215256883,HD 17864,42.69942178,-39.93226569,6.333,1, 
433084576,J1204-5915,181.18855,-59.253265,6.338,0, 
67756034,J1607-2427,241.96621,-24.462309,6.375,1, 
142874735,chi01 For,51.48286411,-35.92090467,6.351,1, 
357040880,DX Cha A,180.0203945,-78.192959,6.233,0, 
68505142,J1613-2425,243.43956,-24.422121,6.318,1, 
393808058,HR 4750,187.1589234,26.22690865,6.344,1, 
17294823,HD 27524,65.38233902,21.03972725,6.37,1, 
17292477,HD 27534,65.38493717,18.41744922,6.364,1, 
89069027,J1531-3252,232.95927,-32.881088,6.388,1, 
145240385,HD 75466,132.0007,-52.8501,6.389,0, 
446318155,J1346-5441,206.5604,-54.683334,6.359,1, 
381003375,HD 15115,36.5680598,6.292341738,6.401,1, 
316422737,HD 117651,203.39909,-65.632781,6.378,0, 
464903262,HD 92536,159.8449685,-64.11174594,6.411,0, 
49202243,HD 145501A,242.99387,-19.450279,6.261,1, 
49435315,J1614-2106,243.62037,-21.107634,6.392,1, 
263009731,J1534-3920,233.58691,-39.349239,6.414,1, 
153079294,J1530-4155,232.58874,-41.919006,6.428,0, 
389254715,J1159-4549,179.79458,-45.832207,6.401,0, 
333670854,HD 105383,182.02006,-50.76369,6.444,1, 
254045251,HR 7170,285.26794,-37.061571,6.387,0, 
241827885,J1426-3952,216.70785,-39.874004,6.477,0, 
338627888,J1652-4043,253.11424,-40.723175,6.434,0, 
383500904,HD 107053,184.62109,32.748857,6.422,1, 
393808110,17 Com A,187.1855846,25.89925058,6.416,1, 
142889338,chi03 For A,52.04820809,-35.8534422,6.443,1, 
245794718,HD 28406,67.37692584,17.86303168,6.461,1, 
329299765,J1407-4842,211.92005,-48.704014,6.46,0, 
365692096,HR 1807,81.66176719,6.86873667,6.408,1, 
391798710,HD 93738,161.9728532,-64.26278288,6.454,0, 
208791781,J1356-5407,209.0832,-54.132294,6.843,0, 
231626393,HIP 104308,316.963611,-54.21685357,6.468,1,1 
385589411,22 Tau,56.51217437,24.52770988,6.451,0, 
435925799,HD 27691,65.68455124,15.05603852,6.557,1, 
285117481,HD 107935,186.014421,25.8512342,6.447,1, 
328861965,BD+29 2280,184.9608768,28.46431838,6.444,1, 
