tic,name,ra,dec,tmag,ctl,sector 
88478795,HR 943,46.96218523,-27.83122781,6.06,1, 
245819740,HD 28568,67.69548717,16.14854171,6.06,1, 
308769611,J1217-6541,184.27631,-65.693008,6.065,1, 
231061242,HIP 9685,31.14706317,-54.88178815,6.067,1,2
287842651,HD 37306,84.286637,-11.775611,6.094,1, 
401944429,J0350-0131,57.56778191,-1.522470374,6.1,1, 
323292655,RS Cha,130.8008965,-79.070082,6.111,1, 
31475829,HD 37286,84.04301781,-28.70802603,6.138,1, 
268119987,HD 62848,115.8391483,-52.16346451,6.152,0, 
326467176,J1400-6128,210.07246,-61.481033,6.158,1, 
245858382,HD 28911,68.44478209,13.25181197,6.181,1, 
435920541,HD 27561,65.39542717,14.40970935,6.185,1, 
15933506,HD 26345,62.67704552,18.42312528,6.191,1, 
245895478,HD 29225,69.17008889,15.86921328,6.199,1, 
450098574,HD 30810,72.80259811,11.06798257,6.213,1, 
389121767,101 Tau,74.93504417,15.91660929,6.249,1, 
144596888,HIP 16449,52.97377874,-25.61421209,6.3,1, 
215256883,HD 17864,42.69942178,-39.93226569,6.333,1, 
17292477,HD 27534,65.38493717,18.41744922,6.364,1, 
17294823,HD 27524,65.38233902,21.03972725,6.37,1, 
435911720,55 Tau,64.97904227,16.52243279,6.388,1, 
381003375,HD 15115,36.5680598,6.292341738,6.401,1, 
365692096,HR 1807,81.66176719,6.86873667,6.408,1, 
329299765,J1407-4842,211.92005,-48.704014,6.46,0, 
245794718,HD 28406,67.37692584,17.86303168,6.461,1, 
231626393,HIP 104308,316.963611,-54.21685357,6.468,1,1
375034557,AK Pic AB,99.501523,-61.533379,6.478,1,2-Jan
435938633,HD 27848,66.09324049,17.07884356,6.503,1, 
456891444,HD 28394,67.33610346,17.54481611,6.507,1, 
388499647,HD 70703,125.25176,-52.227887,6.52,1, 
436650260,HD 30676,72.60013104,17.20251837,6.53,1, 
435925799,HD 27691,65.68455124,15.05603852,6.557,1, 
373052731,HD 28608,67.73865151,10.75172214,6.571,1, 
337438474,HD 164249 A,270.764223,-51.6493683,6.579,1, 
337438474,HD 164249 B,270.7671297,-51.64933765,6.579,0, 
18372016,HD 28483,67.57530039,19.84042235,6.59,1, 
283751025,HD 26784,63.64359431,10.70136375,6.599,1, 
340459410,HD 62850,115.6498186,-59.29676703,6.606,0, 
360689837,HIP 95270,290.7457741,-54.53839135,6.608,1, 
357208862,HIP 59243,182.2811271,-78.78134457,6.615,1, 
359997243,J1224-7236,186.21635,-72.603851,6.63,0, 
439979970,J1305-6426,196.25853,-64.441566,6.657,0, 
450077414,HD 30311,71.69039471,9.017424878,6.674,1, 
406498177,HIP 21965,70.82189959,-23.62839762,6.684,1, 
231005004,HD 10269,24.782455,-56.429507,6.693,1,2
156427870,J0548+0733,87.128417,7.551337,6.708,1, 
301636441,HIP 99273,302.2719192,-26.22431431,6.739,1, 
238196350,HD 24636,57.04880006,-74.69401445,6.744,1,2-Jan
441420236,AU Mic,311.2910913,-31.34240001,6.755,0,1
186287369,J1533-2429,233.28963,-24.490387,6.757,1, 
238815210,HIP 107947,328.0409121,-62.05274297,6.772,1,1
436656073,HD 30738,72.70262587,16.21034161,6.79,1, 
235037790,HD 221740,353.80449,-64.689059,6.797,1,1
445925825,HD 20430,49.3606423,7.655784772,6.828,0, 
464415840,HD 173167,282.02661,-62.230058,6.836,1, 
17418956,HD 28033,66.57753999,21.47027277,6.837,1, 
408012676,HD 984,3.543160425,-7.199397933,6.845,1, 
32500778,HD 37484,84.41522709,-28.62630613,6.86,1, 
270377865,HD 217343,345.0808693,-26.15442266,6.862,0,2
17410529,HD 27989,66.46598988,18.86389277,6.863,1, 
17150156,V1232 Tau,64.50815247,18.25667439,6.873,1, 
369614946,HD 3888,10.215716,-53.21012,6.874,1,2
245786953,V993 Tau,66.90000161,15.58909229,6.877,1, 
