   TIC_ID ,                 RA ,                 Dec ,    Tmag ,                  Other-Name
326467176,210.07246,-61.481033,6.158,                J1400-6128
245858382,68.44478209,13.25181197,6.181,                  HD 28911
435920541,65.39542717,14.40970935,6.185,                  HD 27561
15933506,62.67704552,18.42312528,6.191,                  HD 26345
245895478,69.17008889,15.86921328,6.199,                  HD 29225
450098574,72.80259811,11.06798257,6.213,                  HD 30810
389121767,74.93504417,15.91660929,6.249,                   101 Tau
144596888,52.97377874,-25.61421209,6.3,                 HIP 16449
215256883,42.69942178,-39.93226569,6.333,                  HD 17864
17292477,65.38493717,18.41744922,6.364,                  HD 27534
17294823,65.38233902,21.03972725,6.37,                  HD 27524
435911720,64.97904227,16.52243279,6.388,                    55 Tau
381003375,36.5680598,6.292341738,6.401,                  HD 15115
365692096,81.66176719,6.86873667,6.408,                   HR 1807
329299765,211.92005,-48.704014,6.46,                J1407-4842
245794718,67.37692584,17.86303168,6.461,                  HD 28406
231626393,316.963611,-54.21685357,6.468,                HIP 104308
375034557,99.501523,-61.533379,6.478,                 AK Pic AB
435938633,66.09324049,17.07884356,6.503,                  HD 27848
456891444,67.33610346,17.54481611,6.507,                  HD 28394
388499647,125.25176,-52.227887,6.52,                  HD 70703
436650260,72.60013104,17.20251837,6.53,                  HD 30676
435925799,65.68455124,15.05603852,6.557,                  HD 27691
373052731,67.73865151,10.75172214,6.571,                  HD 28608
337438474,270.764223,-51.6493683,6.579,               HD 164249 A
337438474,270.7671297,-51.64933765,6.579,               HD 164249 B
18372016,67.57530039,19.84042235,6.59,                  HD 28483
283751025,63.64359431,10.70136375,6.599,                  HD 26784
340459410,115.6498186,-59.29676703,6.606,                  HD 62850
360689837,290.7457741,-54.53839135,6.608,                 HIP 95270
357208862,182.2811271,-78.78134457,6.615,                 HIP 59243
359997243,186.21635,-72.603851,6.63,                J1224-7236
439979970,196.25853,-64.441566,6.657,                J1305-6426
450077414,71.69039471,9.017424878,6.674,                  HD 30311
406498177,70.82189959,-23.62839762,6.684,                 HIP 21965
231005004,24.782455,-56.429507,6.693,                  HD 10269
156427870,87.128417,7.551337,6.708,                J0548+0733
301636441,302.2719192,-26.22431431,6.739,                 HIP 99273
238196350,57.04880006,-74.69401445,6.744,                  HD 24636
441420236,311.2910913,-31.34240001,6.755,                    AU Mic
186287369,233.28963,-24.490387,6.757,                J1533-2429
