tic,tmag,ra,dec,Mass,Teff
17451153,9.8745,66.6984209427849,21.2349211444864,0.63,4078.0013
660406774,13.3996,66.7630795515282,24.1043773987777,0.2,3254.6264
17512898,12.8201,66.9020168024444,19.4459348835084,0.3,3380.6731
245786563,13.0203,66.9197898351905,16.2487025125214,0.24,3336.7983
17518225,9.1266,66.9956900307067,18.5002741659313,0.91,4591.286
17518112,11.6906,66.99672977751,18.7590747745891,0.49,3566.2616
660407240,14.5204,67.0160538834572,24.4019758799089,,2886.6688
245790973,9.6984,67.0452965614015,16.4709392758152,0.66,4084.8696
456892137,11.8463,67.2506304605561,16.3463355305974,0.38,3492.6915
17560029,11.1091,67.2542209248843,18.6737002623039,0.53,3619.9035
268143470,11.0038,67.2957815240694,26.2467550488981,0.55,3715.4346
456892725,10.5767,67.301459954658,15.2739025596795,0.59,3834.1986
18310799,10.1192,67.4124742010444,22.8827207266601,0.71,4293.177
245800181,10.8939,67.4822473521525,16.914049973211,0.54,3693.5205
18312371,14.6173,67.502040967724,22.375088680217,0.14,
456941121,10.7539,67.6591559979523,22.9080090226172,0.62,3785.7345
245820525,13.7806,67.6774889472025,14.6615351212811,0.16,3128.7896
456941299,12.2918,67.6875491410068,22.630054439583,0.37,
268281788,13.319,67.7323705124149,24.8381508673801,0.19,3230.128
245823882,12.5273,67.795920110054,16.3958722241255,0.28,
245830739,12.8673,68.1207518858847,17.904639117879,0.27,3379.9003
397350435,12.4533,68.1576826132916,19.0467030335606,0.25,3352.0946
268397016,13.8759,68.1888844456411,25.0927556737538,0.18,3208.3149
245837275,8.6051,68.4081961045074,16.7624995797793,0.95,5103.2936
61259276,12.6281,68.4283885868823,18.7664379645535,0.23,3306.2918
61259481,13.6173,68.4811123729314,18.3807644632519,0.18,3199.0003
245861520,12.4783,68.4863297866755,16.8690628605047,0.27,3379.2081
245863402,8.8467,68.6340933184994,15.8275572080673,0.92,5035.5671
673569345,10.5958,68.66641338558,15.2091238372581,0.62,3850.6165
118448723,9.861,68.7086556111413,20.3945011678423,0.77,4134.7634
268510484,12.3041,68.7637860027932,24.8540326645382,0.38,
118520260,12.9963,68.8049009262991,22.9890182146605,0.24,3285.4787
245869850,13.1139,68.8685225431329,15.3992663584954,0.22,3268.8276
118524121,12.4725,68.9666886816776,19.7958619807728,0.28,3368.7513
245873780,9.515,69.0007505098156,16.540674374532,0.89,
118524842,11.3028,69.0174336026414,18.8885215942125,0.55,3645.1978
118551425,12.8391,69.1283717357354,19.0909241972279,0.46,3445.9343
118555867,11.7996,69.1584598173895,23.0419789216887,0.38,3473.6947
118591735,11.1784,69.1622730060383,18.6157544019663,0.43,3599.5438
125836954,14.2997,69.2259245249434,24.498911160392,0.17,3162.2025
118557720,12.7465,69.2715565216826,20.718152139292,0.28,3409.2146
674334433,12.0596,69.341649627829,19.3546938676393,,3195.3596
245905701,13.074,69.5439812556823,15.821501136007,0.21,3287.4745
245907108,8.9646,69.6039883642931,17.5424702082361,1.03,4322.5087
118677684,13.7385,69.6808094864813,21.737331424278,0.17,3160.1573
118675681,11.713,69.7280028487701,19.1822183625816,0.45,3555.0755
150061097,9.315,70.0384487381927,25.5923913117806,0.85,4169.789
118765829,11.4115,70.0529573791861,19.2860966602278,0.42,3578.2604
118766826,14.6355,70.1375638294544,18.0283756164715,0.16,3126.1843
118768350,14.6578,70.258087082361,19.9094098926357,0.14,2986.2731
436561375,12.5024,70.5784234968791,17.6939675644349,0.29,3411.5087
397354679,12.46,70.7122254312264,19.4871682600721,0.28,
397357734,12.4831,70.7173797810595,23.339581410341,0.31,3433.6285
397355504,12.5227,70.7436901327097,20.6048348446758,0.28,3408.1496
125915722,11.7052,70.8531515572197,24.296673068441,0.42,3543.355
436575135,13.2428,71.1182102733847,17.8530907758103,0.24,3330.8901
436575369,13.3891,71.1464658885297,17.4511880992533,0.26,
385475808,12.282,71.1823662399416,18.4082731086805,0.33,3403.3337
674108847,14.91,71.2509512721683,17.272081010195,0.19,3114.3491
436584697,10.8579,71.3317892293119,13.5742631784808,0.62,3767.2545
436582827,13.8826,71.3856870020763,16.5982613571275,0.18,3193.7389
397046970,9.6325,71.578306702916,3.63633670938994,0.68,4217.4727
436589427,13.2205,71.6130982038728,17.6266426108356,0.21,3270.0411
238413980,8.8433,71.7872241406694,20.8823128382482,0.83,4686.3417
59840611,10.5271,71.7906410247095,24.0200456064502,0.6,3837.4406
673534579,14.9308,71.8156635000425,13.5573438614083,0.16,3051.0323
18542733,14.8371,71.8508827554219,22.6635106566038,0.14,3043.671
59958693,12.2354,71.9821120044514,25.5797584564284,0.34,3450.7837
18584677,14.6248,72.1239826704501,20.4460606911074,0.16,3136.8287
436640602,12.784,72.248314533785,15.6048917926328,0.26,3324.4119
436639456,12.9459,72.2939954491714,13.8114454339918,0.22,3287.6729
674453869,11.7807,72.3997071753936,21.7607170856183,,3475.9373
436642805,13.4065,72.4024158545594,17.0330748568765,0.2,3252.3334
60009433,12.784,72.4915323972689,27.2102258535613,0.21,3285.0219
18647501,11.8887,72.5694579024657,20.6258237204531,0.36,3468.8647
436659586,9.9587,72.8899111094422,14.286367009225,0.96,
436664231,10.0961,72.9549344027926,17.2737327453763,0.67,4224.5513
68648307,13.8976,73.8119001018864,21.3640483003246,0.19,3236.1568
60478560,14.6736,73.9274744888801,27.4773161632166,0.29,
68653291,13.4958,73.9444420929805,21.2472977879106,0.21,
60511067,12.4985,73.9544223347936,24.3627074492008,0.28,3414.1045
432613905,13.048,74.4907946104934,14.4520066948631,0.22,3293.9402
68812391,14.5219,74.5927088732614,19.3171558001448,0.16,3139.9641
432699513,13.8585,74.6590078466458,16.2223942323667,0.18,3174.0238
389121763,13.5938,75.013720164042,15.914805220635,0.17,3178.2929
303593764,14.402,75.3166694510843,16.1446854198286,0.18,3185.4173
373420734,9.0561,76.4182278666019,6.46517844775132,1.04,4847.1208
673985557,13.8331,77.7870666421179,17.5740054964402,0.37,3370.7378
674518348,13.7553,78.5983977583382,20.5313819921542,0.23,3218.5442
17308656,14.9682,65.4565429815886,19.4856705539335,,2903.6176
389052456,14.9592,62.7767966336482,12.7967152570895,,2955.8507
719773386,15.2962,80.2846167391324,19.6153428173095,,2928.5429
118555704,15.6326,69.2422218149465,23.2773570329178,,
17294137,15.6385,65.434881067799,20.4029035378443,,2881.766
118518140,16.0522,68.8064838826915,20.1336718159341,,2757.0415
245823190,14.6018,67.818198812974,15.0033121873806,,
85246747,15.058,75.1622857548544,24.3828201076047,,3038.9651
17294130,16.252,65.4411461308352,20.3956979989968,,2749.3766
59745167,15.2261,71.6876043280772,24.611175047287,,2892.2298
673621253,14.0594,65.1998117392602,15.2358905539105,,3412.0189
