tic,tmag,ra,dec
270343274,18.2861,33.8108459,-80.4334825
269763987,15.5343,67.3841131,-80.5924757
278544653,10.9338,122.6449934,-78.2471748
293435879,16.7421,47.6485053,-80.1109369
1205347857,18.6852,243.4951079,-77.372347
359361790,17.2584,182.7017969,-76.6412669
675086615,19.0052,75.2789362,-80.3975772
451591134,15.9916,276.033331,-85.5464564
1104780664,19.9717,223.4406353,-76.843508
401778452,16.3766,334.3650828,-84.19845
269852659,11.9382,70.0905119,-79.6324206
263004062,15.4107,12.6150207,-80.238162
1921989615,16.5941,297.4381924,-86.0633992
257340566,14.0389,340.9020673,-86.8050799
453715349,14.5425,158.2174423,-77.761551
383312171,18.6305,186.3938085,-85.3155395
261400667,14.1797,94.3439482,-81.1085558
261378866,8.5448,93.2639218,-80.309486
954715827,19.6871,195.4347418,-79.0187387
293436253,13.7135,48.1902572,-81.2353766
383669175,14.8624,215.1248645,-86.4623391
322272170,13.0774,297.4324053,-86.0633571
453715343,13.5774,158.2246234,-77.7689384
323817173,17.1705,141.2311627,-82.4654261
735145978,13.8229,93.2598353,-80.3093185
384066761,10.436,240.8584553,-81.3272221
1003141715,19.9657,208.0466024,-85.2092252
265179710,9.9774,298.487707,-82.6783474
401605043,14.1687,304.023946,-78.265545
394561014,12.8959,155.8162679,-82.0513073
388200387,12.1604,62.2652287,-78.8107383
401705346,15.5398,331.1365627,-78.7266809
1104327660,20.2782,231.3245619,-78.3973245
401759465,11.1997,336.4267063,-81.0421026
954985353,19.1157,199.0133353,-75.6626014
265143793,15.0093,297.7706096,-82.1702743
318608642,11.9,9.3492755,-83.1858129
276675837,13.453,269.3567835,-80.6309601
278079176,12.9939,106.8285633,-79.1943261
290266435,13.4269,225.0777454,-85.6077121
278593465,10.5062,122.9697724,-81.7353809
1104809029,13.2298,225.4488905,-76.2542596
418722596,14.3492,211.7935183,-79.1813579
317098589,15.0734,347.8997529,-78.9441085
1309792485,20.2081,259.5494366,-76.5502168
323063341,16.6736,126.9467637,-80.8629645
453517268,14.6205,153.6730915,-75.1995345
454678289,13.9119,174.4108688,-75.2123895
402517980,17.742,222.9770033,-76.5819089
356533998,18.6957,171.0695556,-79.7730238
288106057,17.3045,136.5243252,-76.7857759
402226093,14.161,220.7376224,-74.9443267
383713727,13.9838,218.957254,-84.8273372
1003702441,19.5242,215.251965,-77.9257761
269761955,15.7225,66.298668,-80.3852997
1105059374,15.3264,220.7370022,-74.9446938
384069232,13.8824,241.5359266,-78.5220165
313586244,16.085,302.0371439,-83.5788329
177352883,16.7413,104.0248918,-77.3460136
